Jump,X,Y,Dog,handler,Country,breed,Fault
1,993,422,Devoniars Basil Brush,Anita Le Masurier,Channel Islands,Aussie Kelpie,Bar Down
1,993,422,Amy Von Linter,Simon Brenca,Switzerland,Border Collie,Bar Down
1,993,422,Miss Beatric,Silje Johansen,Norway,Border Collie,Bar Down
2,810,420,None,None,None,None,None
3,582,352,Devoniars Basil Brush,Anita Le Masurier,Channel Islands,Aussie Kelpie,Refusal
4,230,378,None,None,None,None,None
5,340,334,Devoniars Basil Brush,Anita Le Masurier,Channel Islands,Aussie Kelpie,Refusal
5,340,334,Ag Ch Comebyanaway Reddy For F,Dave Munnings,England,Border Collie,Wrong Course
6,356,273,None,None,None,None,None
7,440,325,Ozzy the thunderpup from Khaos,Chris Kawecki,wales,Aussie Kelpie,Missed Contact
7,440,325,Jamaican Me Crazy from Let's B,Geertje Schijf,Belgium,Border Collie,Wrong Course
8,564,284,None,None,None,None,None
9,496,273,Devoniars Basil Brush,Anita Le Masurier,Channel Islands,Aussie Kelpie,Refusal
10,386,273,None,None,None,None,None
11,360,334,Rinoa de Villazahara,Marc Rabada,Spain,Border Collie,Bar Down
12,250,378,None,None,None,None,None
13,463,402,Amy Von Linter,Simon Brenca,Switzerland,Border Collie,Missed Contact
14,858,330,None,None,None,None,None
15,712,346,Jim's Best Finch,Declan Dolan,Ireland,Border Collie,Refusal
16,594,284,None,None,None,None,None
17,706,286,Miss Beatric,Silje Johansen,Norway,Border Collie,Refusal
18,827,298,None,None,None,None,None
19,731,274,None,None,None,None,None
20,860,266,None,None,None,None,None
